name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9335082.000000 ErrorPercentage: 0.106239 
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9335082.000000 ErrorPercentage: 0.106239 
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9335082.000000 ErrorPercentage: 0.106239 
"BM_getArea_AVX_PPL/4194304",1000,681.712,531.25,us,,,,,
Invalid sum [16777216]. Expected: 36390716.000000 Given: 37332028.000000 ErrorPercentage: 2.586682 
Invalid sum [16777216]. Expected: 36390716.000000 Given: 37332028.000000 ErrorPercentage: 2.586682 
Invalid sum [16777216]. Expected: 36390716.000000 Given: 37332028.000000 ErrorPercentage: 2.586682 
"BM_getArea_AVX_PPL/16777216",100,5749.68,5000,us,,,,,
"BM_getArea_AVX_PPL_BigO",,2.04985e-08,1.78122e-08,N^2,,,,,
"BM_getArea_AVX_PPL_RMS",,0.148474,0.117623,,,,,,
"BM_getArea_AVX_ISPC/256",49777778,0.0133533,0.0131836,us,,,,,
"BM_getArea_AVX_ISPC/1024",10000000,0.0491113,0.05,us,,,,,
"BM_getArea_AVX_ISPC/4096",2357895,0.295756,0.291574,us,,,,,
"BM_getArea_AVX_ISPC/16384",497778,1.3131,1.31836,us,,,,,
"BM_getArea_AVX_ISPC/65536",112000,5.88506,5.85938,us,,,,,
"BM_getArea_AVX_ISPC/262144",29867,24.0983,24.065,us,,,,,
"BM_getArea_AVX_ISPC/1048576",7467,96.9774,96.2569,us,,,,,
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9334984.000000 ErrorPercentage: 0.107287 
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9334984.000000 ErrorPercentage: 0.107287 
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9334984.000000 ErrorPercentage: 0.107287 
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9334984.000000 ErrorPercentage: 0.107287 
"BM_getArea_AVX_ISPC/4194304",747,1007.24,1004.02,us,,,,,
Invalid sum [16777216]. Expected: 36390716.000000 Given: 37334408.000000 ErrorPercentage: 2.593222 
Invalid sum [16777216]. Expected: 36390716.000000 Given: 37334408.000000 ErrorPercentage: 2.593222 
Invalid sum [16777216]. Expected: 36390716.000000 Given: 37334408.000000 ErrorPercentage: 2.593222 
"BM_getArea_AVX_ISPC/16777216",112,6425.58,6417.41,us,,,,,
"BM_getArea_AVX_ISPC_BigO",,0.0156766,0.0156555,NlgN,,,,,
"BM_getArea_AVX_ISPC_RMS",,0.203146,0.203986,,,,,,
"BM_getArea_AVX_ISPC_MT/256",1120,564.595,571.987,us,,,,,
"BM_getArea_AVX_ISPC_MT/1024",1120,622.21,627.79,us,,,,,
"BM_getArea_AVX_ISPC_MT/4096",1000,623.738,625,us,,,,,
"BM_getArea_AVX_ISPC_MT/16384",1120,627.567,627.79,us,,,,,
"BM_getArea_AVX_ISPC_MT/65536",1120,647.842,655.692,us,,,,,
"BM_getArea_AVX_ISPC_MT/262144",1120,649.611,641.741,us,,,,,
"BM_getArea_AVX_ISPC_MT/1048576",1000,659.537,656.25,us,,,,,
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9335084.000000 ErrorPercentage: 0.106217 
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9335084.000000 ErrorPercentage: 0.106217 
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9335084.000000 ErrorPercentage: 0.106217 
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9335084.000000 ErrorPercentage: 0.106217 
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9335084.000000 ErrorPercentage: 0.106217 
"BM_getArea_AVX_ISPC_MT/4194304",1659,680.923,461.498,us,,,,,
Invalid sum [16777216]. Expected: 36390716.000000 Given: 37332024.000000 ErrorPercentage: 2.586671 
Invalid sum [16777216]. Expected: 36390716.000000 Given: 37332024.000000 ErrorPercentage: 2.586671 
Invalid sum [16777216]. Expected: 36390716.000000 Given: 37332024.000000 ErrorPercentage: 2.586671 
Invalid sum [16777216]. Expected: 36390716.000000 Given: 37332024.000000 ErrorPercentage: 2.586671 
"BM_getArea_AVX_ISPC_MT/16777216",640,5942.44,1562.5,us,,,,,
"BM_getArea_AVX_ISPC_MT_BigO",,86422.1,43224.5,lgN,,,,,
"BM_getArea_AVX_ISPC_MT_RMS",,1.20358,0.384649,,,,,,
